date,title,label,link
2023-09-28,Lecture 1,LEC,
2023-10-03,Lecture 2,LEC,
2023-10-04,Discussion 1,DISC,
2023-10-05,Lecture 3,LEC,
2023-10-10,Lecture 4,LEC,
2023-10-11,Discussion 2,DISC,
2023-10-12,Lecture 5,LEC,
2023-10-17,Lecture 6,LEC,
2023-10-18,Discussion 3,DISC,
2023-10-19,Lecture 7,LEC,
2023-10-24,Lecture 8,LEC,
2023-10-25,Discussion 4,DISC,
2023-10-26,Lecture 9,LEC,
2023-10-31,Lecture 10,LEC,
2023-11-01,Discussion 5,DISC,
2023-11-02,Lecture 11,LEC,
2023-11-07,Lecture 12,LEC,
2023-11-08,Discussion 6,DISC,
2023-11-09,Lecture 13,LEC,
2023-11-14,Lecture 14,LEC,
2023-11-15,Discussion 7,DISC,
2023-11-16,Lecture 15,LEC,
2023-11-21,Lecture 16,LEC,
2023-11-22,Discussion 8,DISC,
2023-11-23,Thanksgiving Holiday,CNCL,
2023-11-28,Lecture 17,LEC,
2023-11-29,Discussion 9,DISC,
2023-11-30,Lecture 18,LEC,
2023-12-05,Lecture 19,LEC,
2023-12-06,Discussion 10,DISC,
2023-12-07,Lecture 20,LEC,
